                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240909"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      536                  1.0000000000000001E-005                 -4.9999999999999991E+000                  7.9999999999999556E+000                  3.4201595897352611E+001                 -8.3494412481201117E+000                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.6211573106392667E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.6211573106392667E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212213976521873E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212213976521873E+001                 -1.4212213976521873E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6409876081802457E+000                  3.2438581754922735E+000                  1.8626070322501425E+000                  1.6159435497947892E+000                  0.0000000000000000E+000                  1.0372767819570100E+001                 -3.6892410789301016E+000                  5.9144983541423173E+000                  6.2166697818176275E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860837E-003                  9.3805276451495428E-003                  3.4468833607860798E-003                  9.3805276451495428E-003                  5.5999999999999748E+000                  2.2397616189179814E+000                                        0                                        2 
                                      10                                      530                  2.5958682111999997E-004                 -4.2873687855713758E+000                  7.9999999999988338E+000                  3.4201595897352547E+001                 -8.3482313671780819E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2409236581765957E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2409236581765957E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212213749963839E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212213749963839E+001                 -1.4212213749963839E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412883729188184E+000                  3.2450620934281416E+000                  1.8626074617409318E+000                  1.6159426908131496E+000                  0.0000000000000000E+000                  1.0372767884064741E+001                 -3.6892410417632462E+000                  5.9144983795225334E+000                  6.2166697812954830E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607860802E-003                  9.3805276451495393E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  5.5999999999991843E+000                  2.2397616189176621E+000                                        0                                        2 
                                      20                                      530                  1.8668799962237366E-003                 -3.4955563250951283E+000                  7.9999999999916289E+000                  3.4201595897352156E+001                 -8.3484888729030349E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2412658178444983E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2412658178444983E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212212266002267E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212212266002267E+001                 -1.4212212266002267E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412281694586865E+000                  3.2448188052752203E+000                  1.8626062245847335E+000                  1.6159451651251553E+000                  0.0000000000000000E+000                  1.0372768304798925E+001                 -3.6892407335313515E+000                  5.9144984906580671E+000                  6.2166697792956604E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495393E-003                  3.4468833607860781E-003                  9.3805276451495428E-003                  5.5999999999941386E+000                  2.2397616189156482E+000                                        0                                        2 
                                      30                                      530                  1.1818815689988481E-002                 -2.7037438646188803E+000                  7.9999999999470335E+000                  3.4201595897349740E+001                 -8.3486147237403028E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2453321995826021E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2453321995826021E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212203048364342E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212203048364342E+001                 -1.4212203048364342E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412011932669235E+000                  3.2447068413751872E+000                  1.8626041950182448E+000                  1.6159492242557119E+000                  0.0000000000000000E+000                  1.0372770902721731E+001                 -3.6892387553751242E+000                  5.9144991148981019E+000                  6.2166697685490191E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495393E-003                  3.4468833607860781E-003                  9.3805276451495462E-003                  5.5999999999629217E+000                  2.2397616189031626E+000                                        0                                        2 
                                      40                                      530                  7.3438578398454232E-002                 -1.9119314041426323E+000                  7.9999999996709263E+000                  3.4201595897334748E+001                 -8.3486531923942735E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.3188064504614622E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.3188064504614622E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212145244493271E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212145244493271E+001                 -1.4212145244493271E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411962390161507E+000                  3.2446770146087878E+000                  1.8625991901365895E+000                  1.6159592340040334E+000                  0.0000000000000000E+000                  1.0372786887397092E+001                 -3.6892265774053157E+000                  5.9145029502722322E+000                  6.2166697025686568E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495393E-003                  3.4468833607860768E-003                  9.3805276451495428E-003                  5.5999999997696470E+000                  2.2397616188258613E+000                                        0                                        2 
                                      50                                      530                  4.5497190750010669E-001                 -1.1201189436663841E+000                  7.9999999979615115E+000                  3.4201595897241951E+001                 -8.3487079966414743E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.5371519091252015E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.5371519091252015E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4211784277196543E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4211784277196543E+001                 -1.4211784277196543E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6411990684932634E+000                  3.2446378037644847E+000                  1.8625739257602134E+000                  1.6160097626639867E+000                  0.0000000000000000E+000                  1.0372885529561279E+001                 -3.6891514265237100E+000                  5.9145266184822791E+000                  6.2166692954178782E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860755E-003                  9.3805276451495462E-003                  5.5999999985730593E+000                  2.2397616183472779E+000                                        0                                        2 
                                      60                                      530                  2.8173257176583335E+000                 -3.2830648319013606E-001                  7.9999999873822114E+000                  3.4201595896667634E+001                 -8.3490277256278898E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.5743681158390718E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.5743681158390718E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4209546923453185E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4209546923453185E+001                 -1.4209546923453185E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412188623968724E+000                  3.2444085117259269E+000                  1.8624196919337159E+000                  1.6163182297426653E+000                  0.0000000000000000E+000                  1.0373495648458206E+001                 -3.6886866205189710E+000                  5.9146730230736004E+000                  6.2166667773883311E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860759E-003                  9.3805276451495428E-003                  5.5999999911675520E+000                  2.2397616153853850E+000                                        0                                        2 
                                      70                                      531                  1.7444397846610435E+001                  4.6350597728611193E-001                  7.9999999220657623E+000                  3.4201595893121812E+001                 -8.3510002603917428E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.6336684167836133E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.6336684167836133E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4195745802906844E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4195745802906844E+001                 -1.4195745802906844E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6413456004283211E+000                  3.2430122134544050E+000                  1.8614680667350574E+000                  1.6182214765941607E+000                  0.0000000000000000E+000                  1.0377261306904090E+001                 -3.6858171321242246E+000                  5.9155760520451066E+000                  6.2166512737288993E-001                  8.5000496627254174E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860755E-003                  9.3805276451495410E-003                  5.5999999454460321E+000                  2.2397615970987235E+000                                        0                                        3 
                                      80                                      530                  1.0801137310051504E+002                  1.2553184377623601E+000                  7.9999995247003177E+000                  3.4201595871550111E+001                 -8.3630292129956310E+000                  0.0000000000000000E+000                  9.9999857253336388E-001                  2.9773556655388465E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999857253336388E-001                  2.9773556655388465E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4112257413510765E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4112257413510765E+001                 -1.4112257413510765E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6420809376732608E+000                  3.2344102537344033E+000                  1.8556964123851767E+000                  1.6297647637222188E+000                  0.0000000000000000E+000                  1.0400127480295025E+001                 -3.6683667999575769E+000                  5.9210380042115043E+000                  6.2165585182662730E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860785E-003                  9.3805276451495393E-003                  3.4468833607860690E-003                  9.3805276451495289E-003                  5.5999996672902226E+000                  2.2397614858482418E+000                                        0                                        3 
                                      90                                      533                  6.6877821244671566E+002                  2.0471308982386081E+000                  7.9999972978506619E+000                  3.4201595750661518E+001                 -8.4299855726319510E+000                  0.0000000000000000E+000                  9.9999882511123084E-001                  6.2459191603208883E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999882511123084E-001                  6.2459191603208883E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.3658415231197788E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.3658415231197788E+001                 -1.3658415231197788E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6462762520783487E+000                  3.1875252977639223E+000                  1.8238633055897606E+000                  1.6934308564244624E+000                  0.0000000000000000E+000                  1.0527116865902224E+001                 -3.5706777513194230E+000                  5.9507254782914680E+000                  6.2160800239597802E-001                  8.5000496627254196E-001                  1.2966429887659310E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860724E-003                  9.3805276451495341E-003                  5.5999981084954626E+000                  2.2397608623966954E+000                                        0                                        4 
